customer_id,credit_score,total_debt,total_active_loans,default_risk,shopping_category_most_frequent
C00001,637,193,2,Low,Fashion
C00002,815,0,0,Low,Electronics
C00003,723,273,2,Low,Fashion
C00004,716,421,3,Low,Home/Furniture
C00005,675,145,2,Low,Travel
C00006,488,513,3,Medium,Electronics
C00008,730,773,4,Low,Electronics
C00009,610,918,5,Low,Electronics
C00010,723,185,2,Low,Groceries/Essentials
C00012,774,181,1,Low,Fashion
C00013,474,298,2,Medium,Electronics
C00014,708,170,2,Low,Fashion
C00015,721,110,1,Low,Fashion
C00016,667,0,0,Low,Fashion
C00017,539,356,2,Medium,Home/Furniture
C00018,552,329,2,Low,Fashion
C00019,676,214,1,Low,Home/Furniture
C00020,719,0,0,Low,Fashion
C00021,555,705,6,Low,Travel
C00022,684,168,1,Low,Electronics
C00023,660,572,5,Low,Groceries/Essentials
C00024,529,62,1,Low,Fashion
C00025,688,248,2,Low,Electronics
C00026,647,599,4,Low,Travel
C00027,755,157,3,Low,Fashion
C00028,720,1083,4,Low,Fashion
C00029,666,300,6,Low,Home/Furniture
C00031,616,0,0,Low,Electronics
C00032,643,265,2,Low,Fashion
C00033,724,105,1,Low,Electronics
C00034,544,153,1,Low,Fashion
C00035,545,176,3,Low,Home/Furniture
C00036,647,255,1,Low,Fashion
C00037,686,1825,7,Low,Electronics
C00038,765,1428,8,High,Groceries/Essentials
C00039,748,210,1,Low,Groceries/Essentials
C00040,547,203,3,Low,Electronics
C00041,765,0,0,Low,Electronics
C00042,701,880,4,Low,Fashion
C00043,627,0,0,Low,Fashion
C00044,626,122,2,Low,Groceries/Essentials
C00045,701,157,2,Low,Home/Furniture
C00046,606,221,2,Low,Fashion
C00047,743,101,1,Low,Fashion
C00048,628,92,1,Low,Fashion
C00049,691,144,1,Low,Travel
C00050,677,208,1,Low,Electronics
C00051,662,276,2,Low,Fashion
C00052,709,204,1,Low,Home/Furniture
C00053,710,0,0,Low,Electronics
C00054,600,283,2,Low,Electronics
C00055,682,39,1,Low,Fashion
C00056,677,575,3,Low,Groceries/Essentials
C00057,706,560,3,Low,Electronics
C00058,642,194,1,Low,Fashion
C00059,676,158,1,Low,Electronics
C00060,579,89,1,Low,Home/Furniture
C00061,831,1187,6,Low,Home/Furniture
C00062,666,116,1,Low,Travel
C00063,677,0,0,Low,Electronics
C00064,697,618,4,Low,Electronics
C00065,752,411,3,Low,Home/Furniture
C00066,733,106,5,Low,Electronics
C00067,707,238,2,Low,Travel
C00068,543,864,4,Low,Travel
C00069,778,100,1,Low,Fashion
C00070,630,101,1,Low,Electronics
C00071,577,295,2,Low,Fashion
C00072,678,65,1,Low,Travel
C00074,687,1314,6,Low,Fashion
C00075,764,659,9,Low,Home/Furniture
C00076,691,123,2,Low,Fashion
C00077,690,249,1,Low,Electronics
C00078,693,176,1,Low,Electronics
C00079,745,0,8,Low,Home/Furniture
C00080,654,679,3,Low,Fashion
C00081,740,477,3,Low,Groceries/Essentials
C00082,745,1436,7,Low,Home/Furniture
C00083,702,132,1,Low,Electronics
C00084,694,107,1,Low,Fashion
C00085,609,185,1,Low,Fashion
C00086,632,141,1,Low,Electronics
C00087,533,255,2,Medium,Fashion
C00088,659,207,2,Low,Electronics
C00089,585,148,1,Low,Fashion
C00090,654,420,2,Low,Fashion
C00091,521,0,0,Low,Fashion
C00092,655,408,2,Low,Fashion
C00093,644,395,3,Low,Travel
C00094,640,397,2,Low,Electronics
C00095,462,387,2,Medium,Fashion
C00096,792,139,1,Low,Electronics
C00097,694,971,7,Medium,Fashion
C00098,619,185,1,Low,Fashion
C00099,737,139,1,Low,Electronics
C00100,635,236,1,Low,Fashion
C00101,743,292,2,Low,Fashion
C00102,706,286,4,Low,Electronics
C00103,639,68,1,Low,Electronics
C00104,588,166,1,Medium,Fashion
C00105,656,188,2,Low,Fashion
C00106,683,109,1,Low,Home/Furniture
C00107,603,176,1,Low,Travel
C00108,596,134,1,Low,Fashion
C00109,811,654,3,Low,Travel
C00110,641,310,2,Low,Electronics
C00111,750,195,1,Low,Fashion
C00112,660,61,1,Low,Electronics
C00113,705,517,4,Low,Fashion
C00114,646,1405,7,High,Travel
C00115,699,290,2,Low,Home/Furniture
C00116,558,0,0,Low,Fashion
C00117,578,126,1,Low,Electronics
C00118,644,1063,4,Low,Home/Furniture
C00119,645,450,7,Medium,Fashion
C00120,758,380,4,Low,Travel
C00121,599,490,2,Low,Electronics
C00122,651,102,1,Low,Home/Furniture
C00123,558,117,1,Medium,Electronics
C00124,687,381,2,Low,Home/Furniture
C00125,677,89,1,Low,Groceries/Essentials
C00126,629,204,1,Low,Home/Furniture
C00127,523,456,2,Low,Fashion
C00128,520,147,1,Low,Home/Furniture
C00129,672,454,2,Low,Electronics
C00130,686,143,1,Low,Home/Furniture
C00131,487,163,1,Low,Electronics
C00132,660,170,1,Low,Fashion
C00133,730,463,4,Low,Home/Furniture
C00134,697,889,4,Low,Travel
C00135,635,185,1,Low,Fashion
C00136,703,172,1,Low,Fashion
C00137,723,648,4,Low,Travel
C00138,660,119,1,Low,Fashion
C00139,683,205,2,Low,Fashion
C00140,665,1061,5,Low,Home/Furniture
C00141,790,401,2,Low,Fashion
C00142,631,436,3,Low,Electronics
C00143,479,718,3,High,Fashion
C00144,723,60,2,Low,Home/Furniture
C00145,621,141,1,Low,Electronics
C00146,764,81,1,Low,Fashion
C00147,674,165,1,Low,Fashion
C00148,551,329,2,Medium,Home/Furniture
C00149,680,230,2,Low,Home/Furniture
C00150,668,589,5,Medium,Electronics
C00151,756,541,4,Low,Electronics
C00152,717,197,1,Low,Home/Furniture
C00153,693,0,0,Low,Groceries/Essentials
C00154,642,649,4,High,Home/Furniture
C00155,616,0,0,Low,Fashion
C00156,740,0,0,Low,Electronics
C00157,806,164,1,Low,Fashion
C00158,780,292,2,Low,Fashion
C00159,632,589,4,Low,Travel
C00160,717,249,2,Low,Groceries/Essentials
C00161,766,383,3,Low,Fashion
